NSE Code,Ticker,NSE:DATAPATTNS
NSE:KPITTECH,NSE:ASTRAL,NSE:KIRLOSENG
NSE:HEXT,NSE:DATAPATTNS,NSE:MRPL
NSE:SYNGENE,NSE:KIRLOSENG,NSE:AARTIIND
NSE:COFORGE,NSE:LUPIN,NSE:AAVAS
NSE:DIXON,NSE:MRPL,NSE:ACE
NSE:SUZLON,NSE:360ONE,NSE:ABFRL
NSE:GODFRYPHLP,NSE:3MINDIA,NSE:ABREL
NSE:AWL,NSE:ABB,NSE:ABSLAMC
NSE:LODHA,NSE:AIAENG,NSE:AEGISLOG
NSE:NAUKRI,NSE:APLAPOLLO,NSE:AEGISVOPAK
NSE:FACT,NSE:AUBANK,NSE:AFFLE
NSE:LTTS,NSE:AWL,NSE:AKUMS
NSE:PREMIERENE,NSE:AARTIIND,NSE:AKZOINDIA
NSE:INDIGO,NSE:AAVAS,NSE:APLLTD
NSE:PAGEIND,NSE:ABBOTINDIA,NSE:ALKYLAMINE
NSE:TRENT,NSE:ACE,NSE:ALOKINDS
NSE:NIACL,NSE:ADANIENSOL,NSE:ARE&M
NSE:DLF,NSE:ADANIENT,NSE:AMBER
NSE:TATAELXSI,NSE:ADANIGREEN,NSE:ANANTRAJ
NSE:IRCTC,NSE:ADANIPOWER,NSE:ANGELONE
NSE:BAJAJHFL,NSE:ATGL,NSE:APTUS
NSE:ITCHOTELS,NSE:ABCAPITAL,NSE:ASAHIINDIA
NSE:KALYANKJIL,NSE:ABFRL,NSE:ASTERDM
NSE:JIOFIN,NSE:ABREL,NSE:ASTRAZEN
NSE:IREDA,NSE:ABSLAMC,NSE:ATHERENERG
NSE:SWIGGY,NSE:AEGISLOG,NSE:ATUL
NSE:ETERNAL,NSE:AEGISVOPAK,NSE:AIIL
NSE:HUDCO,NSE:AFFLE,NSE:BASF
NSE:ATGL,NSE:AJANTPHARM,NSE:BEML
NSE:IGL,NSE:AKUMS,NSE:BLS
NSE:IRFC,NSE:AKZOINDIA,NSE:BANDHANBNK
