15k COMPOUNDING MODEL  ▸  Sequential 6.28% Profit Chain  ▸  Tax: 20% STCG (Post Budget Jul 2024)  ▸  Reinvestment: 50% of after-tax profit,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
KEY ASSUMPTIONS: Profit Target = 6.28% per trade | Brokerage = 0.25% both sides + ₹19 DP | Income Tax = 20% STCG (update if LTCG applies: 12.5% above ₹1.25L) | Self Dividend = 50% of after-tax profit reinvested next trade,,,,,,,,,
Trade #,"Investment
₹","Target
@ 6.28% ₹","Gross Profit
₹","Brokerage
(0.247%) ₹","Net Profit
₹","STCG Tax
(20%) ₹","After-Tax
Profit ₹","Self Dividend
(50%) ₹","Growth Amount
(Next Trade +) ₹"
1,15000,15942,942,37.1304,904.8696,188.2128768,716.6567232,358.3283616,358.3283616
2,15358.32836,16322.831381008,964.5030211,38.01739169,926.4856294,192.7090109,733.7766185,366.8883092,366.8883092
3,15725.21667,16712.760276876,987.5436069,38.92557234,948.6180346,197.3125512,751.3054834,375.6527417,375.6527417
4,16100.86941,17112.004008948,1011.134599,39.85544811,971.279151,202.0260634,769.2530876,384.6265438,384.6265438
5,16485.49596,17520.785106288,1035.289146,40.80753727,994.4816088,206.8521746,787.6294342,393.8147171,393.8147171
6,16879.31067,17939.331380076,1060.02071,41.78237047,1018.23834,211.7935747,806.4447651,403.2223826,403.2223826
7,17282.53306,18367.876136168,1085.343076,42.78049103,1042.562585,216.8530177,825.7095672,412.8547836,412.8547836
8,17695.38784,18806.658196352,1111.270356,43.80245524,1067.467901,222.0333234,845.4345777,422.7172888,422.7172888
9,18118.10513,19255.922132164,1137.817002,44.84883271,1092.968169,227.3373792,865.6307901,432.8153951,432.8153951
10,18550.92052,19715.918328656,1164.997809,45.92020663,1119.077602,232.7681413,886.309461,443.1547305,443.1547305
11,18994.07525,20186.9031757,1192.827926,47.01717412,1145.810752,238.3286364,907.4821154,453.7410577,453.7410577
12,19447.81631,20669.139174268,1221.322864,48.14034659,1173.182518,244.0219637,929.1605541,464.580277,464.580277
13,19912.39659,21162.895095852,1250.498506,49.29035002,1201.208156,249.8512964,951.3568594,475.6784297,475.6784297
14,20388.07502,21668.446131256,1280.371111,50.46782538,1229.903286,255.8198834,974.0834023,487.0417012,487.0417012
15,20875.11672,22186.074050016,1310.95733,51.67342892,1259.283901,261.9310514,997.3528496,498.6764248,498.6764248
16,21373.79314,22716.067349192,1342.274209,52.9078326,1289.366377,268.1882064,1021.17817,510.5890852,510.5890852
17,21884.38223,23258.721434044,1374.339204,54.1717244,1320.16748,274.5948358,1045.572644,522.7863219,522.7863219
18,22407.16855,23814.33873494,1407.170185,55.46580875,1351.704376,281.1545103,1070.549866,535.274933,535.274933
19,22942.44348,24383.228930544,1440.785451,56.7908069,1383.994644,287.8708859,1096.123758,548.061879,548.061879
20,23490.50536,24965.709096608,1475.203737,58.14745736,1417.056279,294.7477061,1122.308573,561.1542867,561.1542867
21,24051.65965,25562.10387602,1510.444226,59.53651623,1450.90771,301.7888036,1149.118906,574.5594531,574.5594531
22,24626.2191,26172.74565948,1546.52656,60.95875772,1485.567802,308.9981028,1176.569699,588.2848496,588.2848496
23,25214.50395,26797.97479806,1583.470848,62.4149745,1521.055874,316.3796217,1204.676252,602.338126,602.338126
24,25816.84208,27438.139762624,1621.297683,63.90597821,1557.391704,323.9374745,1233.45423,616.7271149,616.7271149
25,26433.56919,28093.597335132,1660.028145,65.43259984,1594.595546,331.6758735,1262.919672,631.459836,631.459836
26,27065.02903,28764.712853084,1699.683823,66.99569026,1632.688133,339.5991316,1293.089001,646.5445006,646.5445006
27,27711.57353,29451.860347684,1740.286818,68.59612065,1671.690697,347.711665,1323.979032,661.989516,661.989516
28,28373.56305,30155.42280954,1781.859759,70.23478302,1711.624976,356.0179951,1355.606981,677.8034906,677.8034906
29,29051.36654,30875.792358712,1824.425819,71.91259067,1752.513228,364.5227514,1387.990476,693.9952382,693.9952382
30,29745.36178,31613.370499784,1868.008719,73.63047872,1794.378241,373.2306741,1421.147567,710.5737833,710.5737833
31,30455.93556,32368.568313168,1912.632753,75.38940464,1837.243348,382.1466165,1455.096732,727.548366,727.548366
32,31183.48392,33141.806710176,1958.32279,77.19034877,1881.132442,391.2755479,1489.856894,744.9284469,744.9284469
33,31928.41237,33933.516666836,2005.104297,79.03431485,1926.069982,400.6225563,1525.447426,762.7237129,762.7237129
34,32691.13608,34744.139425824,2053.003346,80.92233062,1972.081015,410.1928512,1561.888164,780.9440821,780.9440821
35,33472.08017,35574.126804676,2102.046634,82.85544836,2019.191186,419.9917667,1599.199419,799.5997097,799.5997097
