"20k COMPOUNDING MODEL  ▸  Same logic as 15k but starting at ₹20,000 per chain",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Trade #,"Investment
₹","Target
@ 6.28% ₹","Gross Profit
₹","Brokerage
(0.247%) ₹","Net Profit
₹","STCG Tax
(20%) ₹","After-Tax
Profit ₹","Self Dividend
(50%) ₹","Growth Amount
(Next Trade +) ₹"
1,20000,21256,1256,49.5072,1206.4928,250.9505024,955.5422976,477.7711488,477.7711488
2,20477.77115,21763.77518,1286.004028,50.68985559,1235.314173,256.9453479,978.3688247,489.1844123,489.1844123
3,20966.95556,22283.68037,1316.724809,51.90076312,1264.824046,263.0834016,1001.740645,500.8703223,500.8703223
4,21467.82588,22816.00535,1348.179465,53.14059748,1295.038868,269.3680845,1025.670783,512.8353917,512.8353917
5,21980.66128,23361.0468,1380.385528,54.41004969,1325.975478,275.8028995,1050.172579,525.0862894,525.0862894
6,22505.74756,23919.10851,1413.360947,55.70982729,1357.65112,282.3914329,1075.259687,537.6298434,537.6298434
7,23043.37741,24490.50151,1447.124101,57.0406547,1390.083447,289.1373569,1100.94609,550.4730448,550.4730448
8,23593.85045,25075.54426,1481.693808,58.40327366,1423.290535,296.0444312,1127.246104,563.6230518,563.6230518
9,24157.4735,25674.56284,1517.089336,59.79844361,1457.290892,303.1165056,1154.174387,577.0871934,577.0871934
10,24734.5607,26287.89111,1553.330412,61.22694217,1492.10347,310.3575217,1181.745948,590.872974,590.872974
11,25325.43367,26915.87091,1590.437235,62.68956549,1527.747669,317.7715152,1209.976154,604.988077,604.988077
12,25930.42175,27558.85223,1628.430486,64.18712878,1564.243357,325.3626183,1238.880739,619.4403694,619.4403694
13,26549.86212,28217.19346,1667.331341,65.72046669,1601.610874,333.1350619,1268.475812,634.2379062,634.2379062
14,27184.10002,28891.26151,1707.161482,67.29043384,1639.871048,341.0931779,1298.77787,649.3889349,649.3889349
15,27833.48896,29581.43207,1747.943107,68.89790523,1679.045201,349.2414019,1329.8038,664.9018998,664.9018998
16,28498.39086,30288.08981,1789.698946,70.5437768,1719.155169,357.5842752,1361.570894,680.785447,680.785447
17,29179.17631,31011.62858,1832.452272,72.22896586,1760.223306,366.1264477,1394.096858,697.0484292,697.0484292
18,29876.22474,31752.45165,1876.226913,73.95441166,1802.272502,374.8726804,1427.399821,713.6999107,713.6999107
19,30589.92465,32510.97191,1921.047268,75.72107587,1845.326192,383.8278479,1461.498344,730.749172,730.749172
20,31320.67382,33287.61213,1966.938316,77.52994314,1889.408373,392.9969415,1496.411431,748.2057156,748.2057156
21,32068.87953,34082.80517,2013.925635,79.38202164,1934.543613,402.3850715,1532.158542,766.0792708,766.0792708
22,32834.9588,34896.99422,2062.035413,81.27834363,1980.757069,411.9974704,1568.759599,784.3797994,784.3797994
23,33619.3386,35730.63307,2111.294464,83.21996601,2028.074498,421.8394957,1606.235003,803.1175013,803.1175013
24,34422.45611,36584.18635,2161.730243,85.20797094,2076.522272,431.9166327,1644.60564,822.3028199,822.3028199
25,35244.75893,37458.12979,2213.370861,87.24346645,2126.127394,442.234498,1683.892896,841.946448,841.946448
26,36086.70537,38352.95047,2266.245097,89.32758701,2176.91751,452.7988422,1724.118668,862.0593341,862.0593341
27,36948.76471,39269.14713,2320.382424,91.46149421,2228.920929,463.6155533,1765.305376,882.652688,882.652688
28,37831.4174,40207.23041,2375.813012,93.64637736,2282.166635,474.6906601,1807.475975,903.7379875,903.7379875
29,38735.15538,41167.72314,2432.567758,95.88345423,2336.684304,486.0303352,1850.653969,925.3269843,925.3269843
30,39660.48237,42151.16066,2490.678293,98.17397163,2392.504321,497.6408988,1894.863422,947.4317111,947.4317111
31,40607.91408,43158.09108,2550.177004,100.5192062,2449.657798,509.528822,1940.128976,970.064488,970.064488
32,41577.97857,44189.07562,2611.097054,102.920465,2508.176589,521.7007305,1986.475858,993.2379292,993.2379292
33,42571.2165,45244.68889,2673.472396,105.3790865,2568.093309,534.1634084,2033.929901,1016.964951,1016.964951
34,43588.18145,46325.51924,2737.337795,107.8964408,2629.441354,546.9238016,2082.517552,1041.258776,1041.258776
35,44629.44022,47432.16907,2802.728846,110.4739311,2692.254915,559.9890223,2132.265893,1066.132946,1066.132946
36,45695.57317,48565.25516,2869.681995,113.112994,2756.569001,573.3663522,2183.202649,1091.601324,1091.601324
37,46787.17449,49725.40905,2938.234558,115.8151003,2822.419458,587.0632472,2235.356211,1117.678105,1117.678105
38,47904.8526,50913.27734,3008.424743,118.5817559,2889.842987,601.0873413,2288.755646,1144.377823,1144.377823
39,49049.23042,52129.52209,3080.29167,121.414503,2958.877167,615.4464508,2343.430717,1171.715358,1171.715358
40,50220.94578,53374.82117,3153.875395,124.3149203,3029.560475,630.1485787,2399.411896,1199.705948,1199.705948
41,51420.65173,54649.86866,3229.216928,127.2846245,3101.932304,645.2019192,2456.730385,1228.365192,1228.365192
42,52649.01692,55955.37518,3306.358263,130.3252705,3176.032992,660.6148623,2515.41813,1257.709065,1257.709065
43,53906.72598,57292.06838,3385.342392,133.4385532,3251.903839,676.3959984,2575.50784,1287.75392,1287.75392
44,55194.4799,58660.69324,3466.213338,136.6262078,3329.58713,692.5541231,2637.033007,1318.516504,1318.516504
45,56512.99641,60062.01258,3549.016174,139.8900108,3409.126164,709.098242,2700.027922,1350.013961,1350.013961
46,57863.01037,61496.80742,3633.797051,143.2317813,3490.56527,726.0375761,2764.527694,1382.263847,1382.263847
47,59245.27422,62965.87744,3720.603221,146.653382,3573.949839,743.3815665,2830.568272,1415.284136,1415.284136
48,60660.55835,64470.04142,3809.483065,150.1567197,3659.326345,761.1398797,2898.186465,1449.093233,1449.093233
49,62109.65158,66010.1377,3900.48612,153.7437471,3746.742372,779.3224135,2967.419959,1483.709979,1483.709979
50,63593.36156,67587.02467,3993.663106,157.4164635,3836.246643,797.9393017,3038.307341,1519.153671,1519.153671
51,65112.51523,69201.58119,4089.065957,161.1769157,3927.889041,817.0009205,3110.88812,1555.44406,1555.44406
52,66667.95929,70854.70714,4186.747844,165.0271997,4021.720644,836.517894,3185.20275,1592.601375,1592.601375
53,68260.56067,72547.32388,4286.76321,168.9694615,4117.793749,856.5010997,3261.292649,1630.646324,1630.646324
54,69891.20699,74280.37479,4389.167799,173.0058981,4216.161901,876.9616754,3339.200226,1669.600113,1669.600113
55,71560.80711,76054.82579,4494.018686,177.1387595,4316.879927,897.9110248,3418.968902,1709.484451,1709.484451
56,73270.29156,77871.66587,4601.37431,181.3703489,4420.003961,919.3608239,3500.643137,1750.321569,1750.321569
57,75020.61313,79731.90763,4711.294504,185.7030249,4525.591479,941.3230277,3584.268452,1792.134226,1792.134226
58,76812.74735,81636.58789,4823.840534,190.1392023,4633.701331,963.8098769,3669.891455,1834.945727,1834.945727
59,78647.69308,83586.76821,4939.075125,194.6813535,4744.393772,986.8339046,3757.559867,1878.779934,1878.779934
60,80526.47301,85583.53552,5057.062505,199.3320102,4857.730495,1010.407943,3847.322552,1923.661276,1923.661276
61,82450.13429,87628.00272,5177.868433,204.0937644,4973.774669,1034.545131,3939.229538,1969.614769,1969.614769
62,84419.74906,89721.3093,5301.560241,208.96927,5092.590971,1059.258922,4033.332049,2016.666024,2016.666024
63,86436.41508,91864.62195,5428.206867,213.9612444,5214.245623,1084.56309,4129.682533,2064.841267,2064.841267
64,88501.25635,94059.13525,5557.878899,219.0724699,5338.806429,1110.471737,4228.334692,2114.167346,2114.167346
65,90615.4237,96306.0723,5690.648608,224.3057952,5466.342813,1136.999305,4329.343508,2164.671754,2164.671754
66,92780.09545,98606.68544,5826.589994,229.6641371,5596.925857,1164.160578,4432.765279,2216.382639,2216.382639
67,94996.47809,100962.2569,5965.778824,235.150482,5730.628342,1191.970695,4538.657647,2269.328823,2269.328823
68,97265.80691,103374.0996,6108.292674,240.7678878,5867.524786,1220.445156,4647.079631,2323.539815,2323.539815
69,99589.34673,105843.5577,6254.210974,246.5194853,6007.691489,1249.59983,4758.091659,2379.04583,2379.04583
70,101968.3926,108372.0076,6403.615053,252.4084802,6151.206572,1279.450967,4871.755605,2435.877803,2435.877803
71,104404.2704,110960.8585,6556.588179,258.4381547,6298.150024,1310.015205,4988.134819,2494.067409,2494.067409
72,106898.3378,113611.5534,6713.215612,264.6118694,6448.603743,1341.309578,5107.294164,2553.647082,2553.647082
73,109451.9849,116325.5695,6873.584649,270.9330652,6602.651583,1373.351529,5229.300054,2614.650027,2614.650027
74,112066.6349,119104.4195,7037.78467,277.4052653,6760.379405,1406.158916,5354.220489,2677.110244,2677.110244
75,114743.7451,121949.6523,7205.907194,284.0320769,6921.875117,1439.750024,5482.125092,2741.062546,2741.062546
76,117484.8077,124862.8536,7378.045922,290.8171935,7087.228728,1474.143575,5613.085153,2806.542576,2806.542576
77,120291.3502,127845.647,7554.296795,297.7643967,7256.532399,1509.358739,5747.17366,2873.58683,2873.58683
78,123164.9371,130899.6951,7734.758048,304.8775586,7429.88049,1545.415142,5884.465348,2942.232674,2942.232674
79,126107.1697,134026.7,7919.53026,312.1606437,7607.369617,1582.33288,6025.036736,3012.518368,3012.518368
80,129119.6881,137228.4045,8108.716414,319.6177112,7789.098703,1620.13253,6168.966172,3084.483086,3084.483086
81,132204.1712,140506.5932,8302.421952,327.2529172,7975.169034,1658.835159,6316.333875,3158.166938,3158.166938
82,135362.3381,143863.093,8500.754835,335.0705173,8165.684318,1698.462338,6467.22198,3233.61099,3233.61099
83,138595.9491,147299.7747,8703.825605,343.0748686,8360.750737,1739.036153,6621.714584,3310.857292,3310.857292
84,141906.8064,150818.5539,8911.747443,351.2704323,8560.477011,1780.579218,6779.897793,3389.948896,3389.948896
85,145296.7553,154421.3916,9124.636234,359.6617762,8764.974458,1823.114687,6941.859771,3470.929885,3470.929885
86,148767.6852,158110.2958,9342.610631,368.2535772,8974.357054,1866.666267,7107.690786,3553.845393,3553.845393
87,152321.5306,161887.3227,9565.792122,377.050624,9188.741498,1911.258231,7277.483266,3638.741633,3638.741633
88,155960.2722,165754.5773,9794.305096,386.0578195,9408.247277,1956.915434,7451.331843,3725.665922,3725.665922
89,159685.9382,169714.2151,10028.27692,395.2801839,9632.996732,2003.66332,7629.333412,3814.666706,3814.666706
90,163500.6049,173768.4428,10267.83799,404.7228572,9863.115128,2051.527947,7811.587181,3905.793591,3905.793591
91,167406.3984,177919.5203,10513.12182,414.3911025,10098.73072,2100.53599,7998.19473,3999.097365,3999.097365
92,171405.4958,182169.761,10764.26514,424.2903081,10339.97483,2150.714764,8189.260065,4094.630032,4094.630032
93,175500.1258,186521.5337,11021.4079,434.4259915,10586.98191,2202.092238,8384.889674,4192.444837,4192.444837
94,179692.5707,190977.2641,11284.69344,444.8038018,10839.88964,2254.697045,8585.192593,4292.596296,4292.596296
95,183985.167,195539.4355,11554.26849,455.4295229,11098.83896,2308.558504,8790.280459,4395.14023,4395.14023
96,188380.3072,200210.5905,11830.28329,466.3090773,11363.97422,2363.706637,9000.267579,4500.133789,4500.133789
97,192880.441,204993.3327,12112.89169,477.4485284,11635.44317,2420.172179,9215.270988,4607.635494,4607.635494
98,197488.0765,209890.3277,12402.2512,488.854085,11913.39712,2477.986601,9435.410518,4717.705259,4717.705259
