"PROJECTION: ₹20,000 → ₹1 CRORE  ▸  Sequential 6.28% Compounding Without Tax/Withdrawal (Gross Model)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Trade #,Investment ₹,Target @ 6.28% ₹,Gross Profit ₹,Brokerage ₹,Net Remain Profit ₹
1,20000,21256,1256,49.5072,1206.4928
2,21206.4928,22538.26055,1331.767748,52.49370402,1279.274044
3,22485.76684,23897.873,1412.106158,55.66036781,1356.44579
4,23842.21263,25339.50359,1497.290953,59.01805947,1438.272894
5,25280.48553,26868.10002,1587.614491,62.57830266,1525.036188
6,26805.52172,28488.90848,1683.386764,66.35331624,1617.033448
7,28422.55516,30207.49163,1784.936464,70.35605615,1714.580408
8,30137.13557,32029.74769,1892.612114,74.60025991,1818.011854
9,31955.14743,33961.93068,2006.783258,79.10049373,1927.682765
10,33882.83019,36010.67193,2127.841736,83.87220254,2043.969533
11,35926.79972,38183.00275,2256.203023,88.93176296,2167.27126
12,38094.07098,40486.37864,2392.307658,94.29653955,2298.011118
13,40392.0821,42928.70486,2536.622756,99.98494435,2436.637812
14,42828.71991,45518.36352,2689.643611,106.0165001,2583.62711
15,45412.34702,48264.24242,2851.895393,112.4119073,2739.483486
16,48151.83051,51175.76547,3023.934956,119.1931152,2904.741841
17,51056.57235,54262.92509,3206.352744,126.3833969,3079.969347
18,54136.5417,57536.31652,3399.774819,134.0074299,3265.767389
19,57402.30909,61007.1741,3604.865011,142.0913798,3462.773631
20,60865.08272,64687.40991,3822.327195,150.6629912,3671.664203
21,64536.74692,68589.65463,4052.907707,159.7516819,3893.156025
22,68429.90294,72727.30085,4297.397905,169.3886446,4128.00926
23,72557.91221,77114.54909,4556.636886,179.6069536,4377.029933
24,76934.94214,81766.4565,4831.514366,190.4416784,4641.072688
25,81576.01483,86698.98856,5122.973731,201.9300041,4921.043727
26,86497.05855,91929.07383,5432.015277,214.1113589,5217.903918
27,91714.96247,97474.66211,5759.699643,227.0275495,5532.672094
28,97247.63457,103354.786,6107.151451,240.7229047,5866.428546
29,103114.0631,109589.6263,6475.563163,255.2444273,6220.318736
30,109334.3818,116200.581,6866.19918,270.6419554,6595.557225
31,115929.9391,123210.3392,7280.400174,286.968334,6993.43184
32,122923.3709,130642.9586,7719.587693,304.2795954,7415.308098
33,130338.679,138523.9481,8185.269042,322.6351525,7862.633889
34,138201.3129,146880.3553,8679.04245,342.0980019,8336.944448
35,146538.2573,155740.8599,9202.602561,362.7349407,8839.867621
36,155378.125,165135.8712,9757.746248,384.6167954,9373.129453
37,164751.2544,175097.6332,10346.37878,407.8186651,9938.560112
38,174689.8145,185660.3349,10970.52035,432.4201793,10538.10017
39,185227.9147,196860.2277,11632.31304,458.5057709,11173.80727
40,196401.722,208735.7501,12334.02814,486.1649665,11847.86317
41,208249.5852,221327.6591,13078.07395,515.4926931,12562.58125
42,220812.1664,234679.1705,13867.00405,546.5896042,13320.41445
43,234132.5809,248836.1069,14703.52608,579.5624253,14123.96365
44,248256.5445,263847.0555,15590.51099,614.52432,14975.98667
45,263232.5312,279763.5341,16531.00296,651.5952784,15879.40768
46,279111.9389,296640.1686,17528.22976,690.902529,16837.32723
47,295949.2661,314534.88,18585.61391,732.5809753,17853.03294
48,313802.299,333509.0834,19706.78438,776.7736589,18930.01072
49,332732.3097,353627.8988,20895.58905,823.6322503,20071.9568
50,352804.2665,374960.3745,22156.10794,873.3175692,21282.79037
51,374087.0569,397579.7241,23492.66717,926.0001372,22566.66704
52,396653.724,421563.5778,24909.85386,981.8607621,23927.9931
53,420581.7171,446994.2489,26412.53183,1041.091159,25371.44067
54,445953.1577,473959.016,28005.85831,1103.894609,26901.9637
55,472855.1214,502550.4231,29695.30163,1170.486653,28524.81497
56,501379.9364,532866.5964,31486.66001,1241.095839,30245.56417
57,531625.5006,565011.582,33386.08144,1315.964499,32070.11694
58,563695.6175,599095.7023,35400.08478,1395.349584,34004.7352
59,597700.3527,635235.9348,37535.58215,1479.523545,36056.0586
60,633756.4113,673556.3139,39799.90263,1568.77527,38231.12736
61,671987.5387,714188.3561,42200.81743,1663.411074,40537.40635
62,712524.945,757271.5116,44746.56655,1763.755748,42982.8108
63,755507.7558,802953.6429,47445.88707,1870.153678,45575.73339
64,801083.4892,851391.5323,50308.04312,1982.970026,48325.0731
65,849408.5623,902751.42,53342.85771,2102.591979,51240.26573
