DMA-DMA ENHANCED SCANNER  ▸  Nifty 50-250 Universe  ▸  Update CMP/DMA Cols B-E daily from Google Sheets,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,DMA-DMA ENHANCED SCANNER  ▸  Nifty 50-250 Universe  ▸  Update CMP/DMA Cols B-E daily from Google Sheets.1,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
COLOUR CODE: 🟡 = Manual Input (Yellow Cells)  |  🔵 = Auto-calculated Formula (Do Not Edit),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSE Code,CMP (₹),50 DMA,100 DMA,200 DMA,DMA Status,% from 200 DMA,"Golden DMA
(50>100>200)","Pts: Golden
(3 max)","Pts: Distance
(4 max)",CAR Signal,"Pts: CAR
(2 max)","Data OK
(1 pt)","CONVICTION
SCORE /10",Sector,TRADE SIGNAL,"ATR %
(Manual)","Max Entry
Window",Volume Ratio,Volume Signal,Beta,Beta Signal,%from 52 week High,52-week Range Position,52-week Zone,Relative Strength vs Nifty (1-month),RS Signal,RSI 14-day,RSI Signal,EPS Check,Speed Score (0–10),Enhanced Conviction Score (0–15),Master Signal (replaces old TRADE SIGNAL)
,"googlefinance(a,""price"")",Fetch 50-day MA,Fetch 100-day MA,Fetch 200-day MA,formula,formula,formula,formula,formula,CAR Formula (GSheets),formula,formula,SUM(I:M),Type manually,formula,e.g. 1.5,formula,Vol Ration (Today/Avg),Volume Signal ,Beta,Beta Signal ,%from 52wk High,52wk Range Position %,52wk Zone,RS vs Nifty 1m %,RS Signal,RSI 14,RSI Signal,EPS Check,SPEED SCORE /10,ENHANCED SCORE /15,MASTER SIGNAL
NSE:KPITTECH,634,859.145,1029.7395,1134.14225,In Bear Run,-44.09872307,Inverted ✗,0,0,Avoid/Hold,0,1,1,IT,REVERSE TRADE,,15,0.83,LOW VOL,0.86,SLOW,-55.8,1.1,DEEP RECOVERY,-4.47,WEAK RS,43.9,WEAK MOM,EPS+,1,2,REVERSE TRADE
NSE:HEXT,423.1,551.022,643.3115,706.27025,In Bear Run,-40.09375306,Inverted ✗,0,0,Avoid/Hold,0,1,1,IT,REVERSE TRADE,,15,0.33,LOW VOL,0.76,SLOW,-53,4.6,DEEP RECOVERY,0.83,MILD RS,46.7,IDEAL ENTRY,EPS+,2,3,REVERSE TRADE
NSE:SYNGENE,389.15,455.985,550.244,601.679,In Bear Run,-35.32265544,Inverted ✗,0,0,Avoid/Hold,0,1,1,Healthcare,REVERSE TRADE,,15,2.19,HIGH VOL,0.86,SLOW,-48.8,0.6,DEEP RECOVERY,1.2,MILD RS,46.8,IDEAL ENTRY,EPS+,5,4,REVERSE TRADE
NSE:COFORGE,1114.7,1367.452,1582.42,1672.2325,In Bear Run,-33.34060904,Inverted ✗,0,0,Avoid/Hold,0,1,1,IT,REVERSE TRADE,,15,0.44,LOW VOL,0.77,SLOW,-44.1,10.8,DEEP RECOVERY,4.12,MILD RS,64,IDEAL ENTRY,EPS+,2,3,REVERSE TRADE
NSE:DIXON,9638,10714.18,12236.07,14293.045,In Bear Run,-32.56860242,Inverted ✗,0,0,Avoid/Hold,0,1,1,Electronics,REVERSE TRADE,,15,1.05,LOW VOL,0.03,SLOW,-47.8,0.4,DEEP RECOVERY,3.74,MILD RS,48.7,IDEAL ENTRY,EPS+,2,3,REVERSE TRADE
NSE:SUZLON,39.61,44.4092,49.2311,54.8624,In Bear Run,-27.80118989,Inverted ✗,0,0,Avoid/Hold,0,1,1,Renewable Energy,REVERSE TRADE,,15,2.03,HIGH VOL,1.41,FAST,-46.7,3.9,DEEP RECOVERY,1.92,MILD RS,42.6,WEAK MOM,EPS+,7,5,REVERSE TRADE
NSE:GODFRYPHLP,1870.5,2086.856,2426.371,2812.25595,In Bear Run,-33.48756183,Inverted ✗,0,0,Avoid/Hold,0,1,1,FMCG,REVERSE TRADE,,15,0.97,LOW VOL,0.44,SLOW,-52.6,1.8,DEEP RECOVERY,-0.75,WEAK RS,49.4,IDEAL ENTRY,EPS+,0,2,REVERSE TRADE
